winner,weight_class,title_fight,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,reach_diff,age_fighter1,age_fighter2
1,Welterweight,f,180.34,187.96,Southpaw,3.56,44.0,3.99,60.0,0.72,65.0,69.0,0.0,68.29269000000001,185.42,185.42000000000002,Orthodox,4.09,48.0,4.02,54.0,1.28,34.0,71.0,1.4,73.91304000000001,2.539999999999992,35,34
1,Light Heavyweight,f,187.96,190.5,Orthodox,5.69,48.0,4.84,53.0,0.4,50.0,70.0,0.0,83.333336,185.42,200.66,Orthodox,3.34,53.0,3.74,49.0,0.58,21.0,71.0,0.4,80.95238,-10.159999999999997,28,37
1,Featherweight,f,172.72,180.34,Orthodox,2.87,45.0,2.61,59.0,1.66,32.0,47.0,1.0,73.07692,177.8,180.34,Orthodox,2.95,33.0,3.02,51.0,1.31,31.0,47.0,1.7,76.92308,0.0,35,25
0,Catch Weight,f,167.64000000000001,177.8,Orthodox,3.7,36.0,3.76,58.0,1.5,45.0,91.0,0.6,81.818184,170.18,180.34,Orthodox,3.89,49.0,1.43,68.0,2.33,36.0,51.0,1.0,84.210526,-2.539999999999992,30,28
0,Featherweight,f,180.34,182.88,Orthodox,5.71,46.0,3.45,68.0,1.27,54.0,76.0,0.4,86.666664,172.72,175.26,Switch,3.65,32.0,5.27,56.0,0.22,14.0,58.0,1.8,93.333336,7.6200000000000045,28,26
1,Featherweight,f,180.34,182.88,Orthodox,5.03,41.0,6.66,55.0,0.67,33.0,75.0,0.0,86.36364,180.34,187.96,Orthodox,3.72,36.0,3.72,53.0,2.8,46.0,69.0,0.2,75.0,-5.0800000000000125,29,27
1,Women's Strawweight,f,157.48000000000002,160.02,Orthodox,5.26,51.0,5.01,41.0,3.18,55.0,81.0,0.6,100.0,162.56,165.1,Orthodox,3.89,43.0,4.75,53.0,2.0,57.0,61.0,0.6,40.0,-5.079999999999984,27,26
1,Flyweight,f,160.02,157.48,Switch,2.12,46.0,1.66,62.0,4.54,57.0,69.0,0.6,87.5,167.64000000000001,172.72,Orthodox,2.75,44.0,1.63,65.0,3.4,51.0,43.0,0.2,70.588234,-15.240000000000009,24,26
0,Lightweight,f,177.8,182.88,Orthodox,2.69,43.0,3.13,51.0,2.53,36.0,72.0,0.3,61.702130000000004,172.72,177.8,Southpaw,4.45,38.0,4.17,54.0,1.07,17.0,60.0,0.1,68.965515,5.079999999999984,37,29
0,Flyweight,f,170.18,177.8,Orthodox,2.65,33.0,3.02,64.0,2.71,41.0,61.0,0.9,73.68421,167.64000000000001,175.26,Orthodox,3.6,37.0,2.56,65.0,0.91,39.0,68.0,0.4,80.95238,2.5400000000000205,24,24
1,Women's Strawweight,f,165.1,167.64000000000001,Orthodox,4.5,42.0,3.08,67.0,0.31,50.0,63.0,0.3,83.333336,162.56,160.02,Orthodox,2.92,41.0,3.26,61.0,1.61,26.0,53.0,0.2,50.0,7.6200000000000045,24,32
1,Welterweight,f,182.88,193.04,Orthodox,2.5,29.0,4.04,56.0,1.44,28.0,75.0,1.8,80.0,182.88,185.42000000000002,Southpaw,5.41,53.0,3.48,60.0,0.52,50.0,62.0,0.0,72.72726999999999,7.619999999999976,28,36
0,Featherweight,f,172.72,180.34,Southpaw,6.04,37.0,5.19,50.0,2.01,33.0,85.0,0.0,85.71429,180.34,177.8,Southpaw,2.3,39.0,5.22,39.0,1.87,66.0,71.0,0.9,66.666664,,24,23
1,Middleweight,f,187.96,190.5,Southpaw,3.2,45.0,3.25,55.0,0.1,25.0,84.0,0.1,73.333336,182.88,190.5,Orthodox,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0,72.72726999999999,0.0,31,38
